1	399
2	136
3	110
4	205
5	433
6	328
7	461
8	182
9	452
10	364
11	335
12	85
13	47
14	101
15	200
16	411
17	359
18	79
19	421
20	245
21	41
22	155
23	187
24	401
25	166
26	256
27	184
28	173
29	37
30	313
31	23
32	147
33	302
34	156
35	355
36	143
37	378
38	492
39	438
40	329
41	361
42	281
43	40
44	402
45	329
46	395
47	241
48	471
49	65
50	90
51	429
52	16
53	237
54	473
55	105
56	375
57	48
58	330
59	447
60	324
61	173
62	359
63	403
64	281
65	49
66	392
67	230
68	402
69	328
70	142
71	327
72	481
73	359
74	91
75	147
76	62
77	454
78	308
79	300
80	273
81	127
82	504
83	211
84	167
85	119
86	375
87	252
88	139
89	296
90	35
91	291
92	477
93	227
94	270
95	334
96	134
97	47
98	129
99	202
100	331
101	234
102	159
103	221
104	410
105	86
106	280
107	363
108	464
109	28
110	313
111	52
112	50
113	334
114	186
115	433
116	313
117	379
118	307
119	78
120	207
121	187
122	303
123	227
124	511
125	309
126	191
127	115
128	161
129	291
130	220
131	463
132	380
133	479
134	480
135	305
136	220
137	148
138	310
139	259
140	366
141	415
142	121
143	502
144	138
145	148
146	509
147	218
148	192
149	341
150	500
151	431
152	280
153	191
154	111
155	241
156	415
157	44
158	349
159	385
160	468
161	265
162	61
163	312
164	184
165	180
166	502
167	496
168	308
169	122
170	382
171	45
172	117
173	446
174	221
175	273
176	391
177	424
178	289
179	103
180	431
181	360
182	320
183	455
184	394
185	158
186	149
187	265
188	51
189	258
190	99
191	483
192	400
193	261
194	443
195	319
196	123
197	427
198	123
199	213
200	466
201	56
202	230
203	125
204	153
205	300
206	512
207	16
208	239
209	325
210	429
211	494
212	47
213	314
214	97
215	219
216	130
217	92
218	237
219	194
220	242
221	153
222	402
223	153
224	496
225	482
226	477
227	69
228	509
229	283
230	197
231	470
232	161
233	215
234	68
235	279
236	40
237	454
238	328
239	43
240	447
241	78
242	325
243	386
244	483
245	271
246	245
247	217
248	62
249	334
250	89
251	67
252	167
253	230
254	80
255	441
256	297
257	435
258	51
259	166
260	59
261	334
262	89
263	301
264	260
265	394
266	263
267	452
268	262
269	294
270	255
271	332
272	472
273	61
274	285
275	93
276	389
277	146
278	206
279	329
280	90
281	307
282	57
283	401
284	341
285	480
286	442
287	512
288	42
289	49
290	215
291	162
292	258
293	296
294	272
295	139
296	137
297	442
298	339
299	69
300	477
